時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 286 	 13 	 80 	 243 	 473 	 2,112 	 1 	0	 59 
89年 1月	 12 	 1 	 11 	 16 	 70 	 552 	0	0	 15 
89年 2月	 15 	 3 	 5 	 12 	 53 	 343 	 1 	0	 13 
89年 3月	 12 	0	 5 	 15 	 26 	 114 	0	0	 6 
89年 4月	 12 	 2 	 5 	 19 	 22 	 145 	0	0	 6 
89年 5月	 19 	 1 	 6 	 22 	 45 	 142 	0	0	 6 
89年 6月	 33 	0	 5 	 20 	 26 	 87 	0	0	 3 
89年 7月	 25 	 1 	 8 	 20 	 36 	 132 	0	0	 5 
89年 8月	 15 	 1 	 6 	 27 	 41 	 137 	0	0	 1 
89年 9月	 16 	 3 	 7 	 20 	 39 	 133 	0	0	0
89年 10月	 88 	0	 7 	 31 	 45 	 115 	0	0	 2 
89年 11月	 26 	0	 5 	 19 	 36 	 124 	0	0	 1 
89年 12月	 13 	 1 	 10 	 22 	 34 	 88 	0	0	 1 
90年	 418 	 11 	 85 	 210 	 421 	 772 	 2 	0	 206 
90年 1月	 50 	0	 7 	 36 	 48 	 169 	0	0	 5 
90年 2月	 90 	 1 	 6 	 27 	 28 	 54 	0	0	 3 
90年 3月	 9 	 1 	 10 	 20 	 26 	 72 	0	0	 9 
90年 4月	 11 	 1 	 7 	 20 	 28 	 92 	0	0	 5 
90年 5月	 10 	 2 	 6 	 26 	 39 	 85 	0	0	 4 
90年 6月	 18 	0	 13 	 15 	 37 	 75 	0	0	 12 
90年 7月	 10 	0	 14 	 14 	 43 	 61 	0	0	 25 
90年 8月	 19 	0	 6 	 21 	 38 	 54 	0	0	 37 
90年 9月	 29 	 2 	 3 	 9 	 40 	 24 	0	0	 32 
90年 10月	 64 	 3 	 6 	 11 	 35 	 29 	0	0	 25 
90年 11月	 92 	 1 	 3 	 8 	 39 	 31 	 2 	0	 28 
90年 12月	 16 	0	 4 	 3 	 20 	 26 	0	0	 21 
91年	 253 	 9 	 101 	 165 	 647 	 432 	 6 	0	 474 
91年 1月	 5 	0	 4 	 7 	 32 	 32 	0	0	 17 
91年 2月	 51 	0	 3 	 15 	 87 	 78 	0	0	 70 
91年 3月	 21 	 2 	 9 	 10 	 28 	 26 	0	0	 40 
91年 4月	 15 	 1 	 10 	 15 	 40 	 40 	 1 	0	 48 
91年 5月	 12 	 1 	 7 	 12 	 32 	 23 	0	0	 29 
91年 6月	 11 	0	 4 	 8 	 39 	 34 	 1 	0	 40 
91年 7月	 11 	 1 	 16 	 19 	 65 	 38 	 1 	0	 41 
91年 8月	 32 	 1 	 8 	 9 	 81 	 31 	0	0	 29 
91年 9月	 6 	0	 8 	 21 	 51 	 22 	0	0	 40 
91年 10月	 27 	 2 	 12 	 18 	 58 	 23 	0	0	 30 
91年 11月	 40 	 1 	 11 	 20 	 74 	 37 	0	0	 36 
91年 12月	 22 	0	 9 	 11 	 60 	 48 	 3 	0	 54 
92年	 373 	 7 	 116 	 131 	 757 	 520 	 10 	0	 357 
92年 1月	 39 	 1 	 15 	 24 	 117 	 75 	 2 	0	 44 
92年 2月	 56 	 2 	 6 	 4 	 51 	 46 	 1 	0	 34 
92年 3月	 24 	0	 6 	 3 	 25 	 16 	0	0	 15 
92年 4月	 26 	 2 	 12 	 7 	 69 	 20 	 1 	0	 33 
92年 5月	 39 	0	 13 	 15 	 62 	 35 	0	0	 27 
92年 6月	 37 	0	 11 	 24 	 53 	 48 	0	0	 29 
92年 7月	 58 	 1 	 11 	 11 	 54 	 32 	0	0	 28 
92年 8月	 11 	0	 5 	 6 	 61 	 45 	 1 	0	 25 
92年 9月	 15 	 1 	 6 	 5 	 72 	 49 	 3 	0	 30 
92年 10月	 14 	0	 11 	 12 	 65 	 57 	 1 	0	 20 
92年 11月	 44 	0	 10 	 11 	 66 	 47 	 1 	0	 34 
92年 12月	 10 	0	 10 	 9 	 62 	 50 	0	0	 38 
93年	 308 	 10 	 67 	 116 	 1,164 	 837 	 20 	0	 567 
93年 1月	 84 	0	 3 	 13 	 131 	 104 	 2 	0	 50 
93年 2月	 22 	 1 	 5 	 13 	 98 	 64 	 1 	0	 32 
93年 3月	 47 	0	 5 	 18 	 72 	 42 	 3 	0	 24 
93年 4月	 22 	 2 	 3 	 9 	 92 	 64 	0	0	 42 
93年 5月	 51 	 1 	 9 	 12 	 107 	 51 	 1 	0	 32 
93年 6月	 10 	0	 8 	 10 	 78 	 55 	 3 	0	 18 
93年 7月	 10 	 1 	 8 	 6 	 132 	 88 	 2 	0	 48 
93年 8月	 8 	0	 9 	 6 	 128 	 80 	 3 	0	 95 
