時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 14,071 	 3,694 	 125 	 928 	 12 	 347 	 130 	 76 	 141 
89年 1月	 1,163 	 374 	 14 	 94 	0	 20 	 7 	 5 	 11 
89年 2月	 842 	 210 	 5 	 102 	0	 20 	 5 	 3 	 11 
89年 3月	 973 	 297 	 11 	 85 	 1 	 20 	 7 	 4 	 11 
89年 4月	 1,108 	 260 	 9 	 75 	0	 22 	 7 	 3 	 11 
89年 5月	 1,461 	 339 	 13 	 93 	0	 24 	 13 	 4 	 10 
89年 6月	 1,060 	 248 	 5 	 69 	 1 	 29 	 16 	 3 	 17 
89年 7月	 1,270 	 347 	 11 	 75 	 2 	 39 	 10 	 7 	 20 
89年 8月	 1,368 	 344 	 15 	 83 	 2 	 38 	 13 	 10 	 15 
89年 9月	 1,233 	 281 	 7 	 63 	0	 29 	 9 	 11 	 8 
89年 10月	 1,378 	 328 	 9 	 79 	0	 43 	 17 	 5 	 16 
89年 11月	 1,153 	 326 	 11 	 63 	 2 	 35 	 5 	 10 	 5 
89年 12月	 1,062 	 340 	 15 	 47 	 4 	 28 	 21 	 11 	 6 
90年	 14,141 	 3,916 	 114 	 585 	 4 	 535 	 189 	 78 	 158 
90年 1月	 1,387 	 342 	 20 	 79 	0	 35 	 8 	 6 	 12 
90年 2月	 1,010 	 254 	 17 	 70 	 1 	 26 	 9 	 2 	 10 
90年 3月	 1,057 	 271 	 10 	 67 	0	 38 	 21 	 10 	 15 
90年 4月	 1,145 	 313 	 13 	 77 	0	 56 	 16 	 7 	 17 
90年 5月	 1,277 	 283 	 7 	 42 	 1 	 76 	 18 	 7 	 14 
90年 6月	 1,128 	 253 	 9 	 57 	0	 68 	 15 	 10 	 10 
90年 7月	 1,384 	 331 	 14 	 39 	0	 49 	 10 	 6 	 16 
90年 8月	 1,247 	 379 	 6 	 38 	0	 40 	 28 	 10 	 21 
90年 9月	 1,065 	 292 	 6 	 28 	0	 28 	 10 	 6 	 8 
90年 10月	 1,271 	 403 	 2 	 30 	0	 42 	 14 	 5 	 15 
90年 11月	 1,234 	 472 	 6 	 32 	 1 	 47 	 22 	 3 	 10 
90年 12月	 936 	 323 	 4 	 26 	 1 	 30 	 18 	 6 	 10 
91年	 18,911 	 4,326 	 124 	 337 	 5 	 468 	 528 	 92 	 125 
91年 1月	 1,259 	 332 	 1 	 17 	 1 	 19 	 18 	 8 	 8 
91年 2月	 1,927 	 355 	 10 	 31 	0	 16 	 11 	 5 	 13 
91年 3月	 1,358 	 376 	 5 	 30 	0	 49 	 14 	 6 	 15 
91年 4月	 1,369 	 328 	 22 	 43 	0	 43 	 18 	 9 	 9 
91年 5月	 1,292 	 323 	 7 	 23 	0	 38 	 30 	 9 	 7 
91年 6月	 1,753 	 388 	 12 	 24 	0	 45 	 47 	 11 	 13 
91年 7月	 2,161 	 409 	 15 	 22 	0	 50 	 57 	 7 	 8 
91年 8月	 1,700 	 387 	 18 	 28 	 1 	 39 	 79 	 7 	 9 
91年 9月	 1,418 	 361 	 10 	 41 	0	 24 	 48 	 4 	 10 
91年 10月	 1,573 	 339 	 6 	 34 	0	 53 	 60 	 10 	 12 
91年 11月	 1,630 	 386 	 7 	 18 	 1 	 50 	 69 	 12 	 11 
91年 12月	 1,471 	 342 	 11 	 26 	 2 	 42 	 77 	 4 	 10 
