時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 14 	0	0	 31 	 1 	 1 	0	 245 	 291 
89年 1月	 1 	0	0	0	0	0	0	 26 	 32 
89年 2月	0	0	0	 2 	0	0	0	 30 	 40 
89年 3月	 1 	0	0	 2 	0	0	0	 16 	 16 
89年 4月	0	0	0	 5 	0	0	0	 13 	 19 
89年 5月	 1 	0	0	 4 	0	0	0	 17 	 14 
89年 6月	0	0	0	 4 	0	 1 	0	 21 	 24 
89年 7月	 1 	0	0	 2 	0	0	0	 25 	 25 
89年 8月	0	0	0	 2 	 1 	0	0	 13 	 25 
89年 9月	 1 	0	0	 2 	0	0	0	 13 	 19 
89年 10月	 3 	0	0	 2 	0	0	0	 22 	 29 
89年 11月	 1 	0	0	 4 	0	0	0	 21 	 18 
89年 12月	 5 	0	0	 2 	0	0	0	 28 	 30 
90年	 39 	0	 1 	 50 	0	 1 	 1 	 193 	 398 
90年 1月	 5 	0	0	 8 	0	0	0	 22 	 19 
90年 2月	 2 	0	0	 5 	0	0	0	 24 	 20 
90年 3月	 1 	0	0	 2 	0	0	0	 13 	 29 
90年 4月	 3 	0	0	 4 	0	 1 	0	 27 	 26 
90年 5月	 4 	0	0	 3 	0	0	0	 16 	 24 
90年 6月	 3 	0	0	 6 	0	0	0	 12 	 25 
90年 7月	 8 	0	0	 2 	0	0	 1 	 17 	 23 
90年 8月	 7 	0	0	 6 	0	0	0	 13 	 43 
90年 9月	0	0	0	 5 	0	0	0	 12 	 30 
90年 10月	 4 	0	0	 2 	0	0	0	 17 	 41 
90年 11月	 1 	0	0	 5 	0	0	0	 7 	 60 
90年 12月	 1 	0	 1 	 2 	0	0	0	 13 	 58 
91年	 22 	0	 1 	 91 	0	0	 3 	 210 	 1,218 
91年 1月	0	0	0	 3 	0	0	0	 13 	 58 
91年 2月	0	0	0	 6 	0	0	 1 	 16 	 63 
91年 3月	 2 	0	0	 7 	0	0	0	 11 	 72 
91年 4月	 4 	0	0	 8 	0	0	0	 8 	 134 
91年 5月	 3 	0	0	 2 	0	0	0	 9 	 134 
91年 6月	 3 	0	0	 6 	0	0	 1 	 14 	 77 
91年 7月	 1 	0	0	 13 	0	0	 1 	 10 	 144 
91年 8月	 1 	0	 1 	 7 	0	0	0	 22 	 136 
91年 9月	 2 	0	0	 7 	0	0	0	 8 	 92 
91年 10月	 3 	0	0	 8 	0	0	0	 17 	 75 
91年 11月	 2 	0	0	 13 	0	0	0	 66 	 145 
91年 12月	 1 	0	0	 11 	0	0	0	 16 	 88 
92年	 31 	0	0	 63 	0	 6 	 1 	 234 	 1,142 
92年 1月	 1 	0	0	 8 	0	 1 	0	 33 	 142 
92年 2月	 3 	0	0	 4 	0	0	0	 8 	 93 
92年 3月	 5 	0	0	 6 	0	0	0	 22 	 115 
92年 4月	 2 	0	0	 7 	0	 1 	0	 26 	 112 
92年 5月	 4 	0	0	 6 	0	0	0	 17 	 76 
92年 6月	0	0	0	 6 	0	0	0	 14 	 60 
92年 7月	 2 	0	0	 5 	0	 1 	 1 	 15 	 103 
92年 8月	 6 	0	0	 1 	0	 1 	0	 15 	 85 
92年 9月	0	0	0	 6 	0	0	0	 20 	 121 
92年 10月	 5 	0	0	 3 	0	0	0	 21 	 86 
92年 11月	 1 	0	0	 4 	0	 1 	0	 21 	 111 
92年 12月	 2 	0	0	 7 	0	 1 	0	 22 	 38 
93年	 19 	0	0	 74 	0	 1 	 3 	 333 	 1,269 
93年 1月	 3 	0	0	 6 	0	0	 1 	 25 	 69 
93年 2月	 2 	0	0	 5 	0	0	 1 	 16 	 79 
93年 3月	 2 	0	0	 12 	0	0	0	 26 	 105 
93年 4月	 3 	0	0	 1 	0	 1 	0	 14 	 102 
93年 5月	 1 	0	0	 9 	0	0	 1 	 12 	 125 
93年 6月	 5 	0	0	 6 	0	0	0	 13 	 96 
93年 7月	0	0	0	 4 	0	0	0	 36 	 123 
93年 8月	0	0	0	 5 	0	0	0	 48 	 95 
93年 9月	0	0	0	 6 	0	0	0	 50 	 157 
93年 10月	0	0	0	 5 	0	0	0	 33 	 105 
93年 11月	 2 	0	0	 10 	0	0	0	 33 	 105 
93年 12月	 1 	0	0	 5 	0	0	0	 27 	 108 
94年	 16 	0	0	 72 	 1 	 2 	 1 	 277 	 1,267 
94年 1月	 1 	0	0	 3 	0	0	0	 28 	 143 
94年 2月	0	0	0	 7 	0	 1 	0	 28 	 127 
94年 3月	0	0	0	 9 	0	0	0	 18 	 80 
94年 4月	 2 	0	0	 6 	0	0	0	 29 	 137 
94年 5月	 4 	0	0	 5 	0	0	0	 23 	 101 
94年 6月	 2 	0	0	 6 	0	0	0	 22 	 95 
94年 7月	 2 	0	0	 3 	0	 1 	0	 32 	 143 
94年 8月	 2 	0	0	 4 	0	0	0	 26 	 166 
94年 9月	0	0	0	 5 	 1 	0	0	 24 	 81 
94年 10月	 3 	0	0	 10 	0	0	 1 	 19 	 68 
94年 11月	0	0	0	 6 	0	0	0	 16 	 55 
94年 12月	0	0	0	 8 	0	0	0	 12 	 71 
95年	 8 	0	 1 	 72 	 1 	 2 	0	 234 	 977 
95年 1月	 2 	0	0	 3 	0	0	0	 29 	 80 
95年 2月	 2 	0	0	 4 	0	 1 	0	 29 	 64 
95年 3月	 2 	0	0	 5 	 1 	0	0	 19 	 57 
95年 4月	0	0	0	 6 	0	0	0	 22 	 44 
95年 5月	0	0	0	 10 	0	0	0	 16 	 61 
95年 6月	0	0	0	 12 	0	0	0	 20 	 67 
95年 7月	0	0	 1 	 3 	0	0	0	 19 	 110 
95年 8月	0	0	0	 5 	0	0	0	 25 	 146 
95年 9月	 2 	0	0	 9 	0	0	0	 18 	 73 
95年 10月	0	0	0	 5 	0	0	0	 20 	 88 
95年 11月	0	0	0	 8 	0	 1 	0	 9 	 91 
95年 12月	0	0	0	 2 	0	0	0	 8 	 96 
96年	 9 	0	 1 	 81 	0	 1 	 2 	 220 	 1,594 
96年 1月	0	0	0	 8 	0	0	0	 15 	 123 
96年 2月	 2 	0	0	 8 	0	0	0	 24 	 121 
96年 3月	0	0	0	 11 	0	0	0	 12 	 142 
96年 4月	 1 	0	0	 6 	0	0	0	 16 	 139 
96年 5月	0	0	0	 5 	0	0	0	 27 	 170 
96年 6月	0	0	0	 4 	0	0	0	 18 	 104 
96年 7月	 1 	0	0	 11 	0	0	0	 23 	 168 
96年 8月	0	0	 1 	 3 	0	0	0	 17 	 192 
96年 9月	0	0	0	 4 	0	0	0	 19 	 118 
96年 10月	 5 	0	0	 9 	0	0	 1 	 18 	 100 
96年 11月	0	0	0	 7 	0	0	0	 10 	 124 
96年 12月	0	0	0	 5 	0	 1 	 1 	 21 	 93 
97年	 6 	0	0	 47 	0	0	0	 189 	 710 
97年 1月	 1 	0	0	 4 	0	0	0	 25 	 106 
97年 2月	0	0	0	 4 	0	0	0	 16 	 108 
97年 3月	 1 	0	0	 6 	0	0	0	 25 	 100 
97年 4月	0	0	0	 3 	0	0	0	 17 	 62 
97年 5月	 1 	0	0	 5 	0	0	0	 17 	 61 
97年 6月	0	0	0	 5 	0	0	0	 14 	 45 
97年 7月	0	0	0	 5 	0	0	0	 14 	 46 
97年 8月	 1 	0	0	 1 	0	0	0	 13 	 43 
97年 9月	 2 	0	0	 4 	0	0	0	 13 	 55 
97年 10月	0	0	0	 5 	0	0	0	 13 	 39 
97年 11月	0	0	0	 3 	0	0	0	 9 	 23 
97年 12月	0	0	0	 2 	0	0	0	 13 	 22 
98年	 12 	0	0	 26 	0	0	0	 171 	 429 
98年 1月	 1 	0	0	0	0	0	0	 22 	 22 
98年 2月	 1 	0	0	 3 	0	0	0	 17 	 33 
98年 3月	 1 	0	0	 7 	0	0	0	 10 	 47 
98年 4月	 3 	0	0	0	0	0	0	 10 	 47 
98年 5月	0	0	0	 1 	0	0	0	 17 	 31 
98年 6月	 1 	0	0	 5 	0	0	0	 16 	 44 
98年 7月	 1 	0	0	 1 	0	0	0	 18 	 34 
98年 8月	0	0	0	 2 	0	0	0	 11 	 48 
98年 9月	0	0	0	 1 	0	0	0	 17 	 28 
98年 10月	 2 	0	0	 1 	0	0	0	 8 	 25 
98年 11月	 2 	0	0	 2 	0	0	0	 12 	 45 
98年 12月	0	0	0	 3 	0	0	0	 13 	 25 
99年	 6 	0	0	 22 	0	 3 	0	 148 	 361 
99年 1月	0	0	0	0	0	0	0	 6 	 20 
99年 2月	 1 	0	0	0	0	 1 	0	 23 	 37 
99年 3月	0	0	0	 2 	0	 1 	0	 10 	 33 
99年 4月	0	0	0	 3 	0	0	0	 9 	 20 
99年 5月	0	0	0	 4 	0	0	0	 18 	 19 
99年 6月	 1 	0	0	 3 	0	0	0	 12 	 29 
99年 7月	0	0	0	 1 	0	0	0	 8 	 48 
99年 8月	0	0	0	 4 	0	0	0	 8 	 45 
99年 9月	 1 	0	0	 3 	0	0	0	 12 	 38 
99年 10月	 1 	0	0	 1 	0	 1 	0	 23 	 31 
99年 11月	 1 	0	0	0	0	0	0	 13 	 22 
99年 12月	 1 	0	0	 1 	0	0	0	 6 	 19 
100年	 7 	0	0	 24 	 1 	 6 	0	 151 	 475 
100年 1月	0	0	0	0	0	 1 	0	 25 	 33 
100年 2月	 1 	0	0	 1 	 1 	0	0	 16 	 21 
100年 3月	0	0	0	 2 	0	0	0	 5 	 39 
100年 4月	 2 	0	0	 1 	0	0	0	 12 	 40 
100年 5月	0	0	0	 4 	0	 1 	0	 11 	 32 
100年 6月	0	0	0	0	0	0	0	 15 	 22 
100年 7月	 1 	0	0	 2 	0	0	0	 11 	 43 
100年 8月	 1 	0	0	 3 	0	0	0	 15 	 65 
100年 9月	0	0	0	 3 	0	0	0	 14 	 63 
100年 10月	 1 	0	0	 3 	0	 3 	0	 7 	 31 
100年 11月	 1 	0	0	 2 	0	 1 	0	 8 	 50 
100年 12月	0	0	0	 3 	0	0	0	 12 	 36 
101年	 2 	0	0	 35 	 2 	 4 	 3 	 125 	 566 
101年 1月	0	0	0	 3 	0	0	0	 26 	 46 
101年 2月	 1 	0	0	 2 	0	0	0	 13 	 38 
101年 3月	0	0	0	 2 	0	0	0	 10 	 30 
